Date,StockCode,Open,High,Low,Close,Volume,Return
2022-05-17,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-18,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-19,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-20,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-23,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-24,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-25,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-26,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-27,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-30,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-31,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-06-01,EQTY,53.0,53.25,53.0,53.0,243200.0,0.1777777777777778
2022-06-02,EQTY,53.0,53.25,53.0,53.0,243200.0,0.0
2022-06-03,EQTY,53.0,53.25,53.0,53.0,243200.0,0.0
2022-06-06,EQTY,45.5,46.0,45.2,45.5,5183500.0,-0.1415094339622641
2022-06-07,EQTY,43.15,45.05,44.0,44.15,2029300.0,-0.0296703296703296
2022-06-08,EQTY,43.15,45.05,44.0,44.15,2029300.0,0.0
2022-06-09,EQTY,48.1,52.75,49.5,50.0,178300.0,0.1325028312570781
2022-06-10,EQTY,46.15,46.0,44.2,44.65,326200.0,-0.1069999999999999
2022-06-13,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-14,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-15,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-16,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-17,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-20,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-21,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-22,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-23,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-24,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-27,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-28,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-29,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-06-30,EQTY,46.15,46.0,44.2,44.65,326200.0,0.0
2022-07-01,EQTY,53.0,53.25,53.0,53.0,686300.0,0.1870100783874579
2022-07-04,EQTY,49.8,49.8,49.0,49.3,845200.0,-0.069811320754717
2022-07-05,EQTY,49.8,49.8,49.0,49.3,845200.0,0.0
2022-07-06,EQTY,45.5,46.0,45.0,45.45,2740000.0,-0.0780933062880323
2022-07-07,EQTY,44.15,45.5,44.0,45.0,2378200.0,-0.0099009900990099
2022-07-08,EQTY,44.15,45.5,44.0,45.0,2378200.0,0.0
2022-07-11,EQTY,45.7,46.0,44.0,45.0,514900.0,0.0
2022-07-12,EQTY,44.95,46.0,44.5,45.05,209100.0,0.001111111111111
2022-07-13,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-14,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-15,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-18,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-19,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-20,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-21,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-22,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-25,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-26,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-27,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-28,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-07-29,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-08-01,EQTY,44.95,46.0,44.5,45.05,209100.0,0.0
2022-08-02,EQTY,53.0,53.0,52.0,52.75,839500.0,0.1709211986681464
2022-08-03,EQTY,50.75,51.5,49.6,50.5,986600.0,-0.0426540284360189
2022-08-04,EQTY,49.3,49.75,49.2,49.3,1141700.0,-0.0237623762376237
2022-08-05,EQTY,49.3,49.75,49.2,49.3,1141700.0,0.0
2022-08-08,EQTY,48.25,52.5,49.0,51.5,99300.0,0.0446247464503042
2022-08-09,EQTY,49.35,49.0,48.6,48.85,462500.0,-0.0514563106796116
2022-08-10,EQTY,49.35,49.0,48.6,48.85,462500.0,0.0
2022-08-11,EQTY,45.0,45.0,44.0,44.5,81500.0,-0.0890481064483111
2022-08-12,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0123595505617977
2022-08-15,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-16,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-17,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-18,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-19,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-22,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-23,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-24,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-25,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-26,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-29,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-30,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-08-31,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-09-01,EQTY,45.05,45.5,45.0,45.05,22400.0,0.0
2022-09-02,EQTY,52.75,53.75,52.0,52.5,6720900.0,0.165371809100999
2022-09-05,EQTY,47.15,47.0,45.9,46.05,839900.0,-0.1228571428571428
2022-09-06,EQTY,45.45,45.45,44.0,44.2,190300.0,-0.040173724212812
2022-09-07,EQTY,45.45,45.45,44.0,44.2,190300.0,0.0
2022-09-08,EQTY,45.45,45.45,44.0,44.2,190300.0,0.0
2022-09-09,EQTY,48.85,50.0,48.3,48.6,1013700.0,0.099547511312217
2022-09-12,EQTY,45.05,46.8,44.5,45.0,131700.0,-0.074074074074074
2022-09-13,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-14,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-15,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-16,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-19,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-20,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-21,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-22,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-23,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-26,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-27,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-28,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-29,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-09-30,EQTY,45.05,46.8,44.5,45.0,131700.0,0.0
2022-10-03,EQTY,50.75,52.0,51.0,51.0,2766000.0,0.1333333333333333
2022-10-04,EQTY,50.75,52.0,51.0,51.0,2766000.0,0.0
2022-10-05,EQTY,46.05,46.0,45.0,45.0,3768300.0,-0.1176470588235294
2022-10-06,EQTY,44.2,45.0,43.0,43.15,104200.0,-0.0411111111111111
2022-10-07,EQTY,44.2,45.0,43.0,43.15,104200.0,0.0
2022-10-10,EQTY,44.2,45.0,43.0,43.15,104200.0,0.0
2022-10-11,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0440324449594438
2022-10-12,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-13,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-14,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-17,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-18,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-19,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-20,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-21,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-24,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-25,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-26,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-27,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-28,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-10-31,EQTY,44.9,46.0,45.0,45.05,1018100.0,0.0
2022-11-01,EQTY,52.75,53.25,51.5,52.0,34700.0,0.1542730299667036
2022-11-02,EQTY,53.0,54.0,52.75,53.25,285200.0,0.0240384615384614
2022-11-03,EQTY,51.0,52.0,51.0,51.25,102200.0,-0.0375586854460093
2022-11-04,EQTY,49.3,50.0,49.3,49.75,436600.0,-0.0292682926829268
2022-11-07,EQTY,49.3,50.0,49.3,49.75,436600.0,0.0
2022-11-08,EQTY,53.25,53.0,50.0,51.75,1317800.0,0.0402010050251255
2022-11-09,EQTY,53.25,53.0,50.0,51.75,1317800.0,0.0
2022-11-10,EQTY,44.5,44.5,44.1,44.5,293100.0,-0.1400966183574878
2022-11-11,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0134831460674158
2022-11-14,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-15,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-16,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-17,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-18,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-21,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-22,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-23,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-24,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-25,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-28,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-29,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-11-30,EQTY,45.05,46.0,45.0,45.1,138300.0,0.0
2022-12-01,EQTY,52.0,51.25,50.0,50.25,155000.0,0.1141906873614191
2022-12-02,EQTY,52.0,51.25,50.0,50.25,155000.0,0.0
2022-12-05,EQTY,44.95,45.0,44.5,44.6,369200.0,-0.1124378109452736
2022-12-06,EQTY,44.95,45.0,44.5,44.6,369200.0,0.0
2022-12-07,EQTY,46.0,47.0,44.5,45.45,1094400.0,0.0190582959641256
2022-12-08,EQTY,51.75,51.75,50.0,50.5,28400.0,0.1111111111111109
2022-12-09,EQTY,48.6,50.0,47.5,47.85,3555100.0,-0.0524752475247524
2022-12-12,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-13,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-14,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-15,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-16,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-19,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-20,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-21,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-22,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-23,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-26,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-27,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-28,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-29,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2022-12-30,EQTY,48.6,50.0,47.5,47.85,3555100.0,0.0
2023-01-02,EQTY,44.0,45.75,44.5,45.05,44600.0,-0.058516196447231
2023-01-03,EQTY,45.5,45.5,45.25,45.5,157900.0,0.0099889012208658
2023-01-04,EQTY,45.5,45.5,45.25,45.5,157900.0,0.0
2023-01-05,EQTY,45.5,45.5,45.25,45.5,157900.0,0.0
